NAME                      VERSION                         TYPE                     
libidn2-0                 2.3.8-2                         deb                      
libk5crypto3              1.21.3-5                        deb                      
libkeyutils1              1.6.3-6                         deb                      
libkrb5-3                 1.21.3-5                        deb                      
libkrb5support0           1.21.3-5                        deb                      
liblastlog2-2             2.41-5                          deb                      
libldap-common            2.6.10+dfsg-1                   deb                      
libldap2                  2.6.10+dfsg-1                   deb                      
liblz4-1                  1.10.0-4                        deb                      
liblzma5                  5.8.1-1                         deb                      
libmd0                    1.1.0-2+b1                      deb                      
libmount1                 2.41-5                          deb                      
libncursesw6              6.5+20250216-2                  deb                      
libnettle8t64             3.10.1-1                        deb                      
libnghttp2-14             1.64.0-1.1                      deb                      
libnghttp3-9              1.8.0-1                         deb                      
libngtcp2-16              1.11.0-1                        deb                      
libngtcp2-crypto-gnutls8  1.11.0-1                        deb                      
libp11-kit0               0.25.5-3                        deb                      
libpam-modules            1.7.0-5                         deb                      
libpam-modules-bin        1.7.0-5                         deb                      
libpam-runtime            1.7.0-5                         deb                      
libpam0g                  1.7.0-5                         deb                      
libpcre2-8-0              10.46-1~deb13u1                 deb                      
libperl5.40               5.40.1-6                        deb                      
libpsl5t64                0.21.2-1.1+b1                   deb                      
libreadline8t64           8.2-6                           deb                      
librtmp1                  2.4+20151223.gitfa8646d.1-2+b5  deb                      
libsasl2-2                2.1.28+dfsg1-9                  deb                      
libsasl2-modules          2.1.28+dfsg1-9                  deb                      
libsasl2-modules-db       2.1.28+dfsg1-9                  deb                      
libseccomp2               2.6.0-2                         deb                      
libselinux1               3.8.1-1                         deb                      
libsemanage-common        3.8.1-1                         deb                      
libsemanage2              3.8.1-1                         deb                      
libsepol2                 3.8.1-1                         deb                      
libsmartcols1             2.41-5                          deb                      
libsqlite3-0              3.46.1-7                        deb                      
libssh2-1t64              1.11.1-1                        deb                      
libssl3t64                3.5.1-1                         deb                      
libstdc++6                14.2.0-19                       deb                      
libsystemd0               257.8-1~deb13u1                 deb                      
libtasn1-6                4.20.0-2                        deb                      
libtinfo6                 6.5+20250216-2                  deb                      
libudev1                  257.8-1~deb13u1                 deb                      
libunistring5             1.3-2                           deb                      
libuuid1                  2.41-5                          deb                      
libx11-6                  2:1.8.12-1                      deb                      
libx11-data               2:1.8.12-1                      deb                      
libxau6                   1:1.0.11-1                      deb                      
libxcb1                   1.17.0-2+b1                     deb                      
libxdmcp6                 1:1.1.5-1                       deb                      
libxext6                  2:1.3.4-1+b3                    deb                      
libxmuu1                  2:1.1.3-3+b4                    deb                      
libxxhash0                0.8.3-2                         deb                      
libzstd                   1.5.7+dfsg-1                    deb                      
libzstd1                  1.5.7+dfsg-1                    deb                      
login                     1:4.16.0-2+really2.41-5         deb                      
login.defs                1:4.17.4-2                      deb                      
mawk                      1.3.4.20250131-1                deb                      
mount                     2.41-5                          deb                      
ncurses-base              6.5+20250216-2                  deb                      
ncurses-bin               6.5+20250216-2                  deb                      
netbase                   6.5                             deb                      
openssh-client            1:10.0p1-7                      deb                      
openssl                   3.5.1                           binary                   
openssl                   3.5.1-1                         deb                      
openssl-provider-legacy   3.5.1-1                         deb                      
passwd                    1:4.17.4-2                      deb                      
patch                     2.8-2                           deb                      
perl                      5.40.1-6                        deb                      
perl-base                 5.40.1-6                        deb                      
perl-modules-5.40         5.40.1-6                        deb                      
pip                       24.0                            python                   
publicsuffix              20250328.1952-0.1               deb                      
python                    3.11.13                         binary                   
readline-common           8.2-6                           deb                      
sed                       4.9-2                           deb                      
setuptools                65.5.1                          python                   
shadow                    1:4.17.4-2                      deb                      
sqv                       1.3.0-3                         deb                      
systemd                   257.8-1~deb13u1                 deb                      
sysvinit-utils            3.14-4                          deb                      
tar                       1.35+dfsg-3.1                   deb                      
tzdata                    2025b-4+deb13u1                 deb                      
util-linux                2.41-5                          deb     (+1 duplicate)   
wget                      1.25.0-2                        deb                      
wheel                     0.45.1                          python                   
xauth                     1:1.1.2-1.1                     deb                      
zlib1g                    1:1.3.dfsg+really1.3.1-1+b1     deb
